current_state,action,next_state,count,probability
M4,a_reject,Reject_M4_d,74848,0.8805
M4,a_reject,Reject_M4_c,10081,0.1186
M4,a_reject,Reject_M4_b,37,0.0004
M4,a_reject,Reject_M4_a,43,0.0005
M3,a_eval,M3,35615,0.3343
M3,a_eval,M2,35323,0.3315
M3,a_eval,M4,35611,0.3342
M2,a_eval,M4,30903,0.3352
M2,a_eval,M3,30500,0.3309
M2,a_eval,M2,30781,0.3339
M1,a_eval,M2,4538,0.4957
M1,a_eval,M1,4617,0.5043
M2,a_accept,Accept_M2_b,5750,0.5475
M2,a_accept,Accept_M2_c,3161,0.301
M2,a_accept,Accept_M2_a,1383,0.1317
M2,a_accept,Accept_M2_d,208,0.0198
M1,a_accept,Accept_M1_a,2125,0.7009
M1,a_accept,Accept_M1_b,882,0.2909
M1,a_accept,Accept_M1_d,1,0.0003
M1,a_accept,Accept_M1_c,24,0.0079
M4,a_eval,M3,699,0.3333
M4,a_eval,M4,658,0.3138
M4,a_eval,M2,740,0.3529
M2,a_reject,Reject_M2_b,363,0.2961
M2,a_reject,Reject_M2_d,164,0.1338
M2,a_reject,Reject_M2_c,676,0.5514
M2,a_reject,Reject_M2_a,23,0.0188
M3,a_reject,Reject_M3_d,111,0.6133
M3,a_reject,Reject_M3_c,65,0.3591
M3,a_reject,Reject_M3_b,5,0.0276
M1,a_reject,Reject_M1_a,14,0.4
M1,a_reject,Reject_M1_b,18,0.5143
M1,a_reject,Reject_M1_c,3,0.0857
