current_state,action,next_state,count,probability
M4,a_mitig,M4,5244,0.5012
M4,a_mitig,M2,5218,0.4988
M2,a_mitig,M2,11054,0.3408
M2,a_mitig,M3,10732,0.3308
M2,a_mitig,M1,10652,0.3284
M2,a_eval,M4,2553,0.338
M2,a_eval,M3,2521,0.3337
M2,a_eval,M2,2480,0.3283
M4,a_reject,M4,3549,1.0
M3,a_mitig,M3,14950,0.5019
M3,a_mitig,M2,14838,0.4981
M3,a_eval,M3,1071,0.3451
M3,a_eval,M4,999,0.3219
M3,a_eval,M2,1033,0.3329
M3,a_reject,M3,8722,1.0
M1,a_mitig,M1,17312,1.0
M1,a_eval,M2,9988,0.506
M1,a_eval,M1,9750,0.494
M2,a_reject,M2,14714,1.0
M1,a_accept,M1,2497,1.0
M1,a_reject,M1,441,1.0
M4,a_eval,M4,419,0.3387
M4,a_eval,M2,398,0.3217
M4,a_eval,M3,420,0.3395
M2,a_accept,M2,77,1.0
