d,b,r,c,k,m,m_metrics,initial_model_type,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,total_reward,final_model_type,final_g,final_k,decision,terminal_subtype,decision_full
multimodal,remote_id,high-risk,non_compliant,start,insufficient,"[0.138, 0.929, 0.701, 0.868]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,56.0,M2,"['0.001', '0.001', '0.994', '0.004']",start,Reject,M2_a,Reject_M2_a
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.099, 0.818, 0.736, 0.814]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M2[hig0.77|k=start] -> M2[hig0.77|k=start] -> M1[hig0.72|k=start] -> M1[hig0.72|k=start] -> M1[min0.57|k=evidence] -> M2[hig0.71|k=evidence] -> M3[hig1.00|k=proposed] -> M3[min0.25|k=final],7,51.37,M3,"['0.000', '0.000', '0.999', '0.001']",proposed,Reject,M3_d,Reject_M3_d
image,remote_id,high-risk,EU_only,start,insufficient,"[0.096, 0.931, 0.927, 0.713]",M2,"['0.004', '0.006', '0.973', '0.016']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.97|k=start] -> M3[hig0.98|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M2[hig0.74|k=evidence] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],6,-60.74,M3,"['0.000', '0.001', '0.999', '0.000']",evidence,Reject,M3_c,Reject_M3_c
structured,categorisation,false,inadequate_SCC,start,suboptimal,"[0.081, 0.971, 0.923, 0.823]",M4,"['0.015', '0.025', '0.046', '0.914']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.91|k=start] -> M4[ban0.91|k=start] -> M4[ban0.91|k=start] -> M2[ban0.48|k=start] -> M4[ban1.00|k=evidence] -> M4[min0.25|k=final],5,45.11,M4,"['0.001', '0.000', '0.002', '0.997']",evidence,Reject,M4_d,Reject_M4_d
image,categorisation,false,EU_only,start,insufficient,"[0.132, 0.881, 0.774, 0.889]",M4,"['0.004', '0.004', '0.006', '0.986']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M2[ban0.51|k=start] -> M2[ban0.51|k=start] -> M2[hig0.64|k=evidence] -> M2[hig0.43|k=evidence] -> M2[lim0.86|k=proposed] -> M2[min0.25|k=final],7,52.15,M2,"['0.017', '0.863', '0.064', '0.056']",proposed,Reject,M2_c,Reject_M2_c
multimodal,remote_id,high-risk,EU_only,start,insufficient,"[0.113, 0.74, 0.922, 0.954]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M1[hig0.83|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-59.89,M2,"['0.000', '0.002', '0.997', '0.001']",evidence,Reject,M2_b,Reject_M2_b
video,none,false,EU_only,start,suboptimal,"[0.105, 0.971, 0.85, 0.88]",M2,"['0.201', '0.271', '0.447', '0.082']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M2[hig0.45|k=start] -> M3[hig0.64|k=start] -> M2[hig0.55|k=start] -> M1[min0.35|k=start] -> M1[min0.65|k=evidence] -> M1[min0.91|k=evidence] -> M1[min0.25|k=final],6,69.93,M1,"['0.914', '0.002', '0.084', '0.001']",evidence,Accept,M1_a,Accept_M1_a
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.138, 0.795, 0.83, 0.848]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M1[hig0.83|k=start] -> M1[min0.66|k=evidence] -> M1[min0.99|k=evidence] -> M1[min0.25|k=final],6,-60.4,M1,"['0.994', '0.002', '0.003', '0.001']",evidence,Accept,M1_a,Accept_M1_a
video,categorisation,false,non_compliant,start,insufficient,"[0.183, 0.836, 0.781, 0.792]",M4,"['0.002', '0.002', '0.057', '0.938']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M4[ban0.94|k=start] -> M4[ban0.94|k=start] -> M2[hig0.48|k=start] -> M1[hig0.29|k=start] -> M2[hig0.72|k=evidence] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],6,-60.66,M3,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M3_c,Reject_M3_c
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.054, 0.986, 0.976, 0.716]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M2[min0.25|k=final],4,41.0,M2,"['0.005', '0.006', '0.972', '0.018']",start,Reject,M2_c,Reject_M2_c
