d,b,r,c,k,m,m_metrics,initial_model_type,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,total_reward,final_model_type,final_g,final_k,decision,terminal_subtype,decision_full
multimodal,categorisation,false,adequacy,start,insufficient,"[0.06, 0.944, 0.917, 0.785]",M4,"['0.004', '0.004', '0.016', '0.976']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.50|k=start] -> M2[ban0.50|k=start] -> M3[hig0.72|k=start] -> M4[ban0.98|k=evidence] -> M4[min0.25|k=final],5,-84.81,M4,"['0.002', '0.002', '0.019', '0.977']",evidence,Reject,M4_d,Reject_M4_d
structured,none,false,inadequate_SCC,start,suboptimal,"[0.086, 0.914, 0.873, 0.89]",M3,"['0.205', '0.338', '0.374', '0.083']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.37|k=start] -> M2[lim0.36|k=start] -> M2[lim0.36|k=start] -> M3[hig0.47|k=start] -> M4[ban0.96|k=evidence] -> M4[min0.25|k=final],5,45.27,M4,"['0.001', '0.002', '0.040', '0.957']",evidence,Reject,M4_d,Reject_M4_d
unstructured_text,none,false,non_compliant,start,suboptimal,"[0.128, 0.884, 0.908, 0.901]",M3,"['0.129', '0.157', '0.637', '0.078']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig0.64|k=start] -> M3[hig0.64|k=start] -> M3[hig0.64|k=start] -> M3[hig0.64|k=start] -> M3[hig0.72|k=evidence] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],6,-90.62,M2,"['0.001', '0.009', '0.990', '0.000']",evidence,Reject,M2_d,Reject_M2_d
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.015, 0.703, 0.937, 0.972]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.002', '0.002', '0.988', '0.008']",start,Reject,M3_d,Reject_M3_d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.113, 0.709, 0.702, 0.921]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M2[hig0.79|k=evidence] -> M2[lim0.86|k=evidence] -> M2[min0.25|k=final],6,-60.4,M2,"['0.000', '0.857', '0.142', '0.001']",evidence,Reject,M2_d,Reject_M2_d
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.166, 0.845, 0.892, 0.895]",M4,"['0.004', '0.007', '0.015', '0.975']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.50|k=start] -> M3[hig0.67|k=start] -> M2[hig0.72|k=start] -> M2[lim0.79|k=evidence] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],6,-60.97,M3,"['0.000', '0.000', '0.999', '0.000']",evidence,Reject,M3_d,Reject_M3_d
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.027, 0.817, 0.881, 0.722]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.78|k=start] -> M3[hig0.87|k=start] -> M2[hig0.82|k=start] -> M3[hig0.89|k=start] -> M3[min0.25|k=final],4,46.0,M3,"['0.019', '0.045', '0.886', '0.050']",start,Reject,M3_d,Reject_M3_d
multimodal,verification,high-risk,adequacy,start,suboptimal,"[0.019, 0.838, 0.965, 0.941]",M2,"['0.014', '0.065', '0.914', '0.008']",start,a_mitig -> a_mitig -> a_mitig -> a_accept,M2[hig0.91|k=start] -> M2[hig0.91|k=start] -> M3[hig0.95|k=start] -> M2[hig0.93|k=start] -> M2[min0.25|k=final],4,56.0,M2,"['0.011', '0.051', '0.932', '0.006']",start,Accept,M2_b,Accept_M2_b
structured,none,false,EU_only,start,insufficient,"[0.157, 0.795, 0.717, 0.737]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M2[hig0.73|k=evidence] -> M4[ban0.95|k=evidence] -> M4[min0.25|k=final],6,39.45,M4,"['0.000', '0.000', '0.045', '0.954']",evidence,Reject,M4_d,Reject_M4_d
video,categorisation,false,inadequate_SCC,start,insufficient,"[0.136, 0.973, 0.768, 0.79]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.96|k=start] -> M2[ban0.49|k=start] -> M2[ban0.49|k=start] -> M1[ban0.29|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,70.12,M2,"['0.000', '0.004', '0.996', '0.000']",evidence,Reject,M2_c,Reject_M2_c
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.195, 0.767, 0.768, 0.799]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.002', '0.003', '0.988', '0.007']",start,Reject,M3_d,Reject_M3_d
image,categorisation,false,EU_only,start,insufficient,"[0.163, 0.878, 0.789, 0.964]",M4,"['0.004', '0.004', '0.006', '0.986']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M2[ban0.51|k=start] -> M3[hig0.67|k=start] -> M2[hig0.98|k=evidence] -> M2[min0.25|k=final],5,-34.84,M2,"['0.000', '0.014', '0.984', '0.002']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.149, 0.742, 0.723, 0.777]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[min0.78|k=evidence] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],6,-60.88,M2,"['0.001', '0.007', '0.993', '0.000']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,none,false,non_compliant,start,insufficient,"[0.115, 0.765, 0.926, 0.964]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.52|k=start] -> M3[hig0.52|k=start] -> M2[hig0.35|k=start] -> M3[hig0.44|k=start] -> M3[hig0.97|k=evidence] -> M3[min0.25|k=final],5,-84.77,M3,"['0.013', '0.002', '0.968', '0.016']",evidence,Reject,M3_d,Reject_M3_d
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.16, 0.948, 0.811, 0.983]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-59.0,M2,"['0.003', '0.005', '0.982', '0.010']",start,Reject,M2_c,Reject_M2_c
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.084, 0.785, 0.931, 0.794]",M3,"['0.174', '0.192', '0.317', '0.317']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M3[hig0.32|k=start] -> M3[hig0.32|k=start] -> M3[hig0.32|k=start] -> M3[hig0.32|k=start] -> M3[ban0.63|k=evidence] -> M3[hig0.47|k=evidence] -> M4[ban0.98|k=proposed] -> M4[min0.25|k=final],7,36.7,M4,"['0.003', '0.013', '0.008', '0.976']",proposed,Reject,M4_d,Reject_M4_d
image,remote_id,high-risk,EU_only,start,insufficient,"[0.066, 0.876, 0.759, 0.875]",M2,"['0.004', '0.006', '0.973', '0.016']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[min0.64|k=evidence] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],6,-35.39,M2,"['0.000', '0.002', '0.997', '0.001']",evidence,Reject,M2_c,Reject_M2_c
multimodal,verification,high-risk,EU_only,start,insufficient,"[0.089, 0.963, 0.785, 0.78]",M2,"['0.017', '0.039', '0.904', '0.041']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.90|k=start] -> M2[hig0.90|k=start] -> M1[hig0.79|k=start] -> M1[hig0.79|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-34.88,M2,"['0.001', '0.004', '0.995', '0.000']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.198, 0.797, 0.711, 0.817]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.78|k=start] -> M3[hig0.87|k=start] -> M2[hig0.82|k=start] -> M1[hig0.75|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-19.89,M2,"['0.001', '0.000', '0.997', '0.002']",evidence,Reject,M2_c,Reject_M2_c
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.077, 0.751, 0.834, 0.891]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,-74.0,M2,"['0.002', '0.004', '0.985', '0.008']",start,Reject,M2_c,Reject_M2_c
structured,remote_id,high-risk,non_compliant,start,insufficient,"[0.095, 0.801, 0.826, 0.737]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[hig0.74|k=evidence] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],6,-20.71,M2,"['0.003', '0.010', '0.987', '0.000']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,none,false,EU_only,start,insufficient,"[0.136, 0.9, 0.791, 0.797]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-49.89,M2,"['0.000', '0.003', '0.997', '0.000']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.078, 0.961, 0.76, 0.945]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-19.0,M2,"['0.004', '0.004', '0.979', '0.013']",start,Reject,M2_b,Reject_M2_b
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.194, 0.826, 0.905, 0.835]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M1[hig0.82|k=start] -> M1[ban0.63|k=evidence] -> M1[min0.52|k=evidence] -> M1[min0.75|k=proposed] -> M2[hig1.00|k=proposed] -> M2[min0.25|k=final],8,-42.77,M2,"['0.000', '0.002', '0.998', '0.000']",proposed,Reject,M2_c,Reject_M2_c
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.145, 0.8, 0.793, 0.891]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.002', '0.002', '0.988', '0.008']",start,Reject,M3_c,Reject_M3_c
image,verification,high-risk,adequacy,start,insufficient,"[0.173, 0.817, 0.855, 0.956]",M2,"['0.029', '0.113', '0.793', '0.065']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.79|k=start] -> M2[hig0.79|k=start] -> M2[hig0.79|k=start] -> M2[hig0.79|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,30.1,M3,"['0.000', '0.000', '0.999', '0.000']",evidence,Reject,M3_c,Reject_M3_c
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.047, 0.701, 0.794, 0.923]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.51|k=start] -> M2[ban0.51|k=start] -> M1[ban0.30|k=start] -> M2[hig0.98|k=evidence] -> M2[min0.25|k=final],5,70.2,M2,"['0.005', '0.017', '0.976', '0.002']",evidence,Reject,M2_c,Reject_M2_c
image,categorisation,false,adequacy,start,insufficient,"[0.17, 0.749, 0.916, 0.793]",M4,"['0.004', '0.006', '0.007', '0.983']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M4[min0.25|k=final],4,31.0,M4,"['0.004', '0.006', '0.007', '0.983']",start,Reject,M4_d,Reject_M4_d
unstructured_text,none,false,EU_only,start,insufficient,"[0.096, 0.743, 0.929, 0.8]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M2[hig0.96|k=evidence] -> M2[min0.25|k=final],5,-49.75,M2,"['0.012', '0.024', '0.962', '0.002']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.077, 0.787, 0.866, 0.802]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M2[ban0.51|k=start] -> M2[hig0.81|k=evidence] -> M2[ban0.55|k=evidence] -> M3[hig1.00|k=proposed] -> M3[min0.25|k=final],7,50.96,M3,"['0.000', '0.000', '1.000', '0.000']",proposed,Reject,M3_c,Reject_M3_c
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.128, 0.761, 0.755, 0.852]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M1[hig0.82|k=start] -> M1[hig0.82|k=start] -> M1[min0.52|k=evidence] -> M2[hig0.91|k=evidence] -> M2[min0.25|k=final],6,-35.04,M2,"['0.001', '0.086', '0.909', '0.004']",evidence,Reject,M2_d,Reject_M2_d
image,verification,high-risk,EU_only,start,suboptimal,"[0.093, 0.961, 0.864, 0.826]",M2,"['0.036', '0.152', '0.794', '0.018']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_accept,M2[hig0.79|k=start] -> M2[hig0.79|k=start] -> M1[hig0.74|k=start] -> M1[hig0.74|k=start] -> M1[min0.96|k=evidence] -> M1[min0.25|k=final],5,55.27,M1,"['0.957', '0.006', '0.035', '0.001']",evidence,Accept,M1_b,Accept_M1_b
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.012, 0.787, 0.96, 0.754]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.97|k=start] -> M3[hig0.98|k=start] -> M3[hig0.98|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.004', '0.004', '0.976', '0.016']",start,Reject,M2_c,Reject_M2_c
multimodal,categorisation,false,non_compliant,start,insufficient,"[0.117, 0.76, 0.94, 0.853]",M4,"['0.002', '0.002', '0.057', '0.938']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M4[ban0.94|k=start] -> M2[hig0.48|k=start] -> M1[hig0.29|k=start] -> M1[hig0.29|k=start] -> M1[min0.58|k=evidence] -> M2[hig0.75|k=evidence] -> M3[hig1.00|k=proposed] -> M3[min0.25|k=final],7,-23.82,M3,"['0.000', '0.000', '1.000', '0.000']",proposed,Reject,M3_c,Reject_M3_c
image,verification,high-risk,EU_only,start,insufficient,"[0.198, 0.908, 0.779, 0.777]",M2,"['0.035', '0.101', '0.785', '0.079']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.78|k=start] -> M1[hig0.73|k=start] -> M1[hig0.73|k=start] -> M1[hig0.73|k=start] -> M1[min0.81|k=evidence] -> M2[hig0.94|k=evidence] -> M2[min0.25|k=final],6,54.2,M2,"['0.007', '0.045', '0.944', '0.004']",evidence,Reject,M2_c,Reject_M2_c
structured,categorisation,false,EU_only,start,suboptimal,"[0.122, 0.856, 0.9, 0.975]",M4,"['0.017', '0.017', '0.019', '0.946']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.95|k=start] -> M2[ban0.50|k=start] -> M3[hig0.67|k=start] -> M3[hig0.67|k=start] -> M3[hig0.98|k=evidence] -> M3[min0.25|k=final],5,45.16,M3,"['0.008', '0.004', '0.984', '0.004']",evidence,Reject,M3_d,Reject_M3_d
multimodal,none,false,EU_only,start,insufficient,"[0.028, 0.88, 0.964, 0.736]",M2,"['0.168', '0.152', '0.374', '0.306']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_accept,M2[hig0.37|k=start] -> M2[hig0.37|k=start] -> M1[min0.36|k=start] -> M1[min0.36|k=start] -> M1[min0.90|k=evidence] -> M1[min0.25|k=final],5,55.48,M1,"['0.905', '0.023', '0.028', '0.044']",evidence,Accept,M1_a,Accept_M1_a
multimodal,verification,high-risk,EU_only,start,suboptimal,"[0.019, 0.971, 0.863, 0.976]",M2,"['0.017', '0.059', '0.916', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.92|k=start] -> M3[hig0.95|k=start] -> M2[hig0.93|k=start] -> M1[hig0.80|k=start] -> M1[min0.78|k=evidence] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],6,-20.89,M2,"['0.001', '0.004', '0.995', '0.000']",evidence,Reject,M2_c,Reject_M2_c
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.094, 0.966, 0.709, 0.951]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[min0.47|k=evidence] -> M1[min0.99|k=evidence] -> M1[min0.25|k=final],6,69.65,M1,"['0.987', '0.002', '0.006', '0.005']",evidence,Accept,M1_a,Accept_M1_a
image,verification,high-risk,inadequate_SCC,start,insufficient,"[0.164, 0.739, 0.792, 0.823]",M3,"['0.015', '0.069', '0.881', '0.036']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.88|k=start] -> M2[hig0.84|k=start] -> M2[hig0.84|k=start] -> M1[hig0.76|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-19.87,M2,"['0.000', '0.004', '0.993', '0.002']",evidence,Reject,M2_c,Reject_M2_c
structured,verification,high-risk,adequacy,start,insufficient,"[0.137, 0.758, 0.798, 0.911]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.78|k=start] -> M3[hig0.87|k=start] -> M3[hig0.87|k=start] -> M2[hig0.82|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,-84.89,M3,"['0.001', '0.000', '0.998', '0.000']",evidence,Reject,M3_d,Reject_M3_d
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.155, 0.754, 0.778, 0.973]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M4[min0.25|k=final],4,-59.0,M4,"['0.004', '0.003', '0.004', '0.989']",start,Reject,M4_c,Reject_M4_c
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.107, 0.734, 0.716, 0.713]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M2[ban0.51|k=start] -> M3[hig0.67|k=start] -> M2[hig0.80|k=evidence] -> M4[ban0.77|k=evidence] -> M3[hig1.00|k=proposed] -> M3[min0.25|k=final],7,50.51,M3,"['0.000', '0.000', '0.999', '0.000']",proposed,Reject,M3_d,Reject_M3_d
video,remote_id,high-risk,EU_only,start,insufficient,"[0.154, 0.716, 0.81, 0.851]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,-74.0,M2,"['0.001', '0.002', '0.992', '0.005']",start,Reject,M2_c,Reject_M2_c
image,verification,high-risk,inadequate_SCC,start,insufficient,"[0.112, 0.972, 0.708, 0.771]",M3,"['0.015', '0.069', '0.881', '0.036']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.88|k=start] -> M2[hig0.84|k=start] -> M2[hig0.84|k=start] -> M3[hig0.89|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.014', '0.056', '0.895', '0.036']",start,Reject,M3_b,Reject_M3_b
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.147, 0.777, 0.853, 0.866]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,46.0,M3,"['0.002', '0.003', '0.988', '0.007']",start,Reject,M3_d,Reject_M3_d
multimodal,categorisation,false,EU_only,start,suboptimal,"[0.114, 0.925, 0.963, 0.962]",M4,"['0.015', '0.020', '0.055', '0.909']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.91|k=start] -> M2[hig0.48|k=start] -> M3[hig0.73|k=start] -> M3[hig0.73|k=start] -> M3[hig0.98|k=evidence] -> M3[min0.25|k=final],5,-84.84,M3,"['0.011', '0.001', '0.984', '0.004']",evidence,Reject,M3_d,Reject_M3_d
image,categorisation,false,non_compliant,start,insufficient,"[0.177, 0.861, 0.974, 0.962]",M4,"['0.002', '0.003', '0.026', '0.968']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_accept,M4[ban0.97|k=start] -> M2[ban0.50|k=start] -> M1[ban0.30|k=start] -> M1[ban0.30|k=start] -> M1[min0.94|k=evidence] -> M1[min0.25|k=final],5,70.33,M1,"['0.942', '0.005', '0.008', '0.045']",evidence,Accept,M1_a,Accept_M1_a
image,verification,high-risk,inadequate_SCC,start,suboptimal,"[0.038, 0.865, 0.923, 0.932]",M3,"['0.015', '0.102', '0.876', '0.008']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.88|k=start] -> M3[hig0.88|k=start] -> M2[hig0.83|k=start] -> M3[hig0.90|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.014', '0.083', '0.896', '0.008']",start,Reject,M3_c,Reject_M3_c
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.03, 0.854, 0.849, 0.765]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.99|k=start] -> M2[ban0.52|k=start] -> M1[ban0.30|k=start] -> M1[ban0.30|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-19.88,M2,"['0.001', '0.003', '0.996', '0.000']",evidence,Reject,M2_c,Reject_M2_c
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.065, 0.758, 0.884, 0.867]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.77|k=start] -> M1[hig0.72|k=start] -> M1[hig0.72|k=start] -> M1[hig0.72|k=start] -> M1[min0.57|k=evidence] -> M2[hig0.97|k=evidence] -> M2[min0.25|k=final],6,-35.3,M2,"['0.002', '0.018', '0.975', '0.005']",evidence,Reject,M2_c,Reject_M2_c
image,none,false,adequacy,start,insufficient,"[0.104, 0.816, 0.945, 0.743]",M1,"['0.191', '0.284', '0.211', '0.314']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-49.89,M2,"['0.001', '0.002', '0.997', '0.000']",evidence,Reject,M2_c,Reject_M2_c
multimodal,none,false,EU_only,start,insufficient,"[0.049, 0.748, 0.797, 0.945]",M2,"['0.168', '0.152', '0.374', '0.306']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.37|k=start] -> M2[hig0.37|k=start] -> M2[hig0.37|k=start] -> M2[hig0.37|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,-99.9,M3,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M3_c,Reject_M3_c
multimodal,none,false,inadequate_SCC,start,insufficient,"[0.099, 0.834, 0.73, 0.963]",M3,"['0.095', '0.141', '0.573', '0.191']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_accept,M3[hig0.57|k=start] -> M3[hig0.57|k=start] -> M2[hig0.49|k=start] -> M1[min0.34|k=start] -> M1[min0.94|k=evidence] -> M1[min0.25|k=final],5,70.36,M1,"['0.936', '0.057', '0.004', '0.002']",evidence,Accept,M1_b,Accept_M1_b
unstructured_text,none,false,EU_only,start,suboptimal,"[0.017, 0.848, 0.921, 0.89]",M1,"['0.329', '0.329', '0.221', '0.121']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_accept,M1[min0.33|k=start] -> M1[min0.33|k=start] -> M1[min0.33|k=start] -> M1[min0.33|k=start] -> M1[min0.87|k=evidence] -> M1[min0.25|k=final],5,40.63,M1,"['0.869', '0.120', '0.007', '0.004']",evidence,Accept,M1_a,Accept_M1_a
