current_state,action,next_state,count,total_from_state_action,transition_probability
"d=structured,b=none,r=false,c=EU_only,k=proposed,m=optimal,mt=M1",a_accept,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",365,365,1.0
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=proposed,m=suboptimal,mt=M3",353,971,0.3635
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=proposed,m=suboptimal,mt=M3",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",340,1312,0.2591
"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",a_reject,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",337,428,0.7874
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",337,971,0.3471
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",325,1168,0.2783
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",281,971,0.2894
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=proposed,m=suboptimal,mt=M3",227,1933,0.1174
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=proposed,m=insufficient,mt=M4",225,1933,0.1164
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",194,1933,0.1004
