current_state,action,next_state,count,probability
M4,a_mitig,M2,17460,0.5016
M4,a_mitig,M4,17352,0.4984
M2,a_mitig,M2,35726,0.3334
M2,a_mitig,M1,35338,0.3298
M2,a_mitig,M3,36095,0.3368
M1,a_eval,M1,33076,0.5003
M1,a_eval,M2,33035,0.4997
M2,a_reject,M2,49289,1.0
M3,a_mitig,M2,49923,0.4985
M3,a_mitig,M3,50217,0.5015
M1,a_mitig,M1,57886,1.0
M3,a_eval,M4,3418,0.332
M3,a_eval,M3,3463,0.3364
M3,a_eval,M2,3413,0.3316
M4,a_reject,M4,11510,1.0
M3,a_reject,M3,29031,1.0
M2,a_eval,M2,8500,0.3361
M2,a_eval,M3,8387,0.3316
M2,a_eval,M4,8404,0.3323
M1,a_reject,M1,1491,1.0
M1,a_accept,M1,8417,1.0
M4,a_eval,M3,1384,0.331
M4,a_eval,M2,1406,0.3363
M4,a_eval,M4,1391,0.3327
M2,a_accept,M2,261,1.0
