current_state,action,next_state,count,probability
M4,a_reject,Reject_M4_d,21801,0.8375
M4,a_reject,Reject_M4_c,3919,0.1506
M4,a_reject,Reject_M4_a,10,0.0004
M4,a_reject,Reject_M4_b,301,0.0116
M1,a_eval,M2,4713,0.5006
M1,a_eval,M1,4701,0.4994
M2,a_eval,M2,9022,0.3331
M2,a_eval,M3,9086,0.3355
M2,a_eval,M4,8975,0.3314
M3,a_eval,M4,7831,0.3333
M3,a_eval,M2,7777,0.331
M3,a_eval,M3,7890,0.3358
M1,a_accept,Accept_M1_a,4003,0.656
M1,a_accept,Accept_M1_b,1783,0.2922
M1,a_accept,Accept_M1_c,302,0.0495
M1,a_accept,Accept_M1_d,14,0.0023
M3,a_reject,Reject_M3_c,1053,0.3525
M3,a_reject,Reject_M3_d,1706,0.5711
M3,a_reject,Reject_M3_a,11,0.0037
M3,a_reject,Reject_M3_b,217,0.0726
M2,a_reject,Reject_M2_c,595,0.4427
M2,a_reject,Reject_M2_b,445,0.3311
M2,a_reject,Reject_M2_d,243,0.1808
M2,a_reject,Reject_M2_a,61,0.0454
M2,a_accept,Accept_M2_c,105,0.3116
M2,a_accept,Accept_M2_a,71,0.2107
M2,a_accept,Accept_M2_b,136,0.4036
M2,a_accept,Accept_M2_d,25,0.0742
M1,a_reject,Reject_M1_b,366,0.4835
M1,a_reject,Reject_M1_c,115,0.1519
M1,a_reject,Reject_M1_a,264,0.3487
M1,a_reject,Reject_M1_d,12,0.0159
M3,a_accept,Accept_M3_b,7,0.2414
M3,a_accept,Accept_M3_d,11,0.3793
M3,a_accept,Accept_M3_c,11,0.3793
M4,a_eval,M4,40,0.2564
M4,a_eval,M3,57,0.3654
M4,a_eval,M2,59,0.3782
