current_state,action,next_state,count,probability
M4,a_reject,Reject_M4_c,1462,0.1476
M4,a_reject,Reject_M4_d,8332,0.8414
M4,a_reject,Reject_M4_b,104,0.0105
M4,a_reject,Reject_M4_a,5,0.0005
M3,a_eval,M4,4118,0.3309
M3,a_eval,M2,4228,0.3398
M3,a_eval,M3,4098,0.3293
M2,a_eval,M3,4226,0.3365
M2,a_eval,M4,4163,0.3315
M2,a_eval,M2,4168,0.3319
M1,a_eval,M1,744,0.5199
M1,a_eval,M2,687,0.4801
M1,a_accept,Accept_M1_a,25,0.5952
M1,a_accept,Accept_M1_b,16,0.381
M1,a_accept,Accept_M1_c,1,0.0238
M4,a_mitig,M4,71,0.4702
M4,a_mitig,M2,80,0.5298
M4,a_eval,M2,189,0.3327
M4,a_eval,M3,201,0.3539
M4,a_eval,M4,178,0.3134
M3,a_accept,Accept_M3_a,4,0.2222
M3,a_accept,Accept_M3_c,7,0.3889
M3,a_accept,Accept_M3_d,5,0.2778
M3,a_accept,Accept_M3_b,2,0.1111
M2,a_accept,Accept_M2_c,8,0.3636
M2,a_accept,Accept_M2_b,10,0.4545
M2,a_accept,Accept_M2_d,2,0.0909
M2,a_accept,Accept_M2_a,2,0.0909
