d,b,r,c,k,m,m_metrics,initial_identified_model,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,final_state,final_g,final_k,total_reward,decision,terminal_subtype
multimodal,categorisation,false,adequacy,start,insufficient,"[0.06, 0.944, 0.917, 0.785]",M4,"['0.004', '0.004', '0.016', '0.976']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,c
structured,none,false,inadequate_SCC,start,suboptimal,"[0.086, 0.914, 0.873, 0.89]",M3,"['0.205', '0.338', '0.374', '0.083']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
unstructured_text,none,false,non_compliant,start,suboptimal,"[0.128, 0.884, 0.908, 0.901]",M3,"['0.129', '0.157', '0.637', '0.078']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.015, 0.703, 0.937, 0.972]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M4 -> Reject_M4_c,4,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,c
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.113, 0.709, 0.702, 0.921]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.166, 0.845, 0.892, 0.895]",M4,"['0.004', '0.007', '0.015', '0.975']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.027, 0.817, 0.881, 0.722]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,verification,high-risk,adequacy,start,suboptimal,"[0.019, 0.838, 0.965, 0.941]",M2,"['0.014', '0.065', '0.914', '0.008']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-88,Reject,d
structured,none,false,EU_only,start,insufficient,"[0.157, 0.795, 0.717, 0.737]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_accept,M1 -> M1 -> Accept_M1_a,2,Accept_M1_a,"['0.250', '0.250', '0.250', '0.250']",final,-82,Accept,a
video,categorisation,false,inadequate_SCC,start,insufficient,"[0.136, 0.973, 0.768, 0.79]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,d
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.195, 0.767, 0.768, 0.799]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
image,categorisation,false,EU_only,start,insufficient,"[0.163, 0.878, 0.789, 0.964]",M4,"['0.004', '0.004', '0.006', '0.986']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.149, 0.742, 0.723, 0.777]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M3 -> M3 -> M3 -> M3 -> M2 -> M3 -> M2 -> M2 -> M4 -> M4 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_d,17,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,16,Reject,d
unstructured_text,none,false,non_compliant,start,insufficient,"[0.115, 0.765, 0.926, 0.964]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.16, 0.948, 0.811, 0.983]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M3 -> M3 -> M4 -> M2 -> M2 -> M3 -> M2 -> M2 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_d,15,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,22,Reject,d
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.084, 0.785, 0.931, 0.794]",M3,"['0.174', '0.192', '0.317', '0.317']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> M2 -> M3 -> M3 -> M2 -> M2 -> M2 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,13,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,26,Reject,d
image,remote_id,high-risk,EU_only,start,insufficient,"[0.066, 0.876, 0.759, 0.875]",M2,"['0.004', '0.006', '0.973', '0.016']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,verification,high-risk,EU_only,start,insufficient,"[0.089, 0.963, 0.785, 0.78]",M2,"['0.017', '0.039', '0.904', '0.041']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.198, 0.797, 0.711, 0.817]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,-84,Reject,c
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.077, 0.751, 0.834, 0.891]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
structured,remote_id,high-risk,non_compliant,start,insufficient,"[0.095, 0.801, 0.826, 0.737]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-84,Reject,d
unstructured_text,none,false,EU_only,start,insufficient,"[0.136, 0.9, 0.791, 0.797]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M1 -> M2 -> M2 -> M3 -> M3 -> M3 -> M3 -> M2 -> M2 -> M4 -> Reject_M4_d,11,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,30,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.078, 0.961, 0.76, 0.945]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.194, 0.826, 0.905, 0.835]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.145, 0.8, 0.793, 0.891]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M3 -> M2 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_c,9,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,c
image,verification,high-risk,adequacy,start,insufficient,"[0.173, 0.817, 0.855, 0.956]",M2,"['0.029', '0.113', '0.793', '0.065']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.047, 0.701, 0.794, 0.923]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,d
image,categorisation,false,adequacy,start,insufficient,"[0.17, 0.749, 0.916, 0.793]",M4,"['0.004', '0.006', '0.007', '0.983']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,none,false,EU_only,start,insufficient,"[0.096, 0.743, 0.929, 0.8]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,M1 -> M1 -> M1 -> M1 -> M1 -> M1 -> Accept_M1_b,6,Accept_M1_b,"['0.250', '0.250', '0.250', '0.250']",final,40,Accept,b
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.077, 0.787, 0.866, 0.802]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.128, 0.761, 0.755, 0.852]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,verification,high-risk,EU_only,start,suboptimal,"[0.093, 0.961, 0.864, 0.826]",M2,"['0.036', '0.152', '0.794', '0.018']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.012, 0.787, 0.96, 0.754]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,categorisation,false,non_compliant,start,insufficient,"[0.117, 0.76, 0.94, 0.853]",M4,"['0.002', '0.002', '0.057', '0.938']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,verification,high-risk,EU_only,start,insufficient,"[0.198, 0.908, 0.779, 0.777]",M2,"['0.035', '0.101', '0.785', '0.079']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
structured,categorisation,false,EU_only,start,suboptimal,"[0.122, 0.856, 0.9, 0.975]",M4,"['0.017', '0.017', '0.019', '0.946']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
multimodal,none,false,EU_only,start,insufficient,"[0.028, 0.88, 0.964, 0.736]",M2,"['0.168', '0.152', '0.374', '0.306']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M3 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
multimodal,verification,high-risk,EU_only,start,suboptimal,"[0.019, 0.971, 0.863, 0.976]",M2,"['0.017', '0.059', '0.916', '0.009']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,-84,Reject,c
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.094, 0.966, 0.709, 0.951]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
image,verification,high-risk,inadequate_SCC,start,insufficient,"[0.164, 0.739, 0.792, 0.823]",M3,"['0.015', '0.069', '0.881', '0.036']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-90,Reject,d
structured,verification,high-risk,adequacy,start,insufficient,"[0.137, 0.758, 0.798, 0.911]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.155, 0.754, 0.778, 0.973]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.107, 0.734, 0.716, 0.713]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
video,remote_id,high-risk,EU_only,start,insufficient,"[0.154, 0.716, 0.81, 0.851]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
image,verification,high-risk,inadequate_SCC,start,insufficient,"[0.112, 0.972, 0.708, 0.771]",M3,"['0.015', '0.069', '0.881', '0.036']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M3 -> M4 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,9,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,d
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.147, 0.777, 0.853, 0.866]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
multimodal,categorisation,false,EU_only,start,suboptimal,"[0.114, 0.925, 0.963, 0.962]",M4,"['0.015', '0.020', '0.055', '0.909']",start,a_eval -> a_eval -> a_reject,M4 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
image,categorisation,false,non_compliant,start,insufficient,"[0.177, 0.861, 0.974, 0.962]",M4,"['0.002', '0.003', '0.026', '0.968']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
image,verification,high-risk,inadequate_SCC,start,suboptimal,"[0.038, 0.865, 0.923, 0.932]",M3,"['0.015', '0.102', '0.876', '0.008']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.03, 0.854, 0.849, 0.765]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.065, 0.758, 0.884, 0.867]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
image,none,false,adequacy,start,insufficient,"[0.104, 0.816, 0.945, 0.743]",M1,"['0.191', '0.284', '0.211', '0.314']",start,a_eval -> a_eval -> a_eval -> a_reject,M1 -> M1 -> M2 -> M4 -> Reject_M4_c,4,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,c
multimodal,none,false,EU_only,start,insufficient,"[0.049, 0.748, 0.797, 0.945]",M2,"['0.168', '0.152', '0.374', '0.306']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
multimodal,none,false,inadequate_SCC,start,insufficient,"[0.099, 0.834, 0.73, 0.963]",M3,"['0.095', '0.141', '0.573', '0.191']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> M3 -> M3 -> M3 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,10,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,32,Reject,d
unstructured_text,none,false,EU_only,start,suboptimal,"[0.017, 0.848, 0.921, 0.89]",M1,"['0.329', '0.329', '0.221', '0.121']",start,a_eval -> a_eval -> a_reject,M1 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,none,false,non_compliant,start,insufficient,"[0.089, 0.969, 0.754, 0.891]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> M4 -> M2 -> M2 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,10,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,30,Reject,d
unstructured_text,none,false,non_compliant,start,insufficient,"[0.177, 0.736, 0.826, 0.776]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M2 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_d,8,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-94,Reject,d
image,categorisation,false,non_compliant,start,insufficient,"[0.176, 0.852, 0.823, 0.753]",M4,"['0.002', '0.003', '0.026', '0.968']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,none,false,non_compliant,start,suboptimal,"[0.051, 0.936, 0.931, 0.842]",M3,"['0.129', '0.157', '0.637', '0.078']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,remote_id,high-risk,EU_only,start,insufficient,"[0.047, 0.705, 0.878, 0.913]",M2,"['0.004', '0.006', '0.973', '0.016']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
structured,none,false,EU_only,start,insufficient,"[0.021, 0.784, 0.85, 0.76]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,M1 -> M1 -> M1 -> M1 -> M1 -> M1 -> Accept_M1_a,6,Accept_M1_a,"['0.250', '0.250', '0.250', '0.250']",final,40,Accept,a
structured,categorisation,false,EU_only,start,suboptimal,"[0.12, 0.838, 0.873, 0.838]",M4,"['0.017', '0.017', '0.019', '0.946']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.189, 0.759, 0.951, 0.781]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,verification,high-risk,inadequate_SCC,start,insufficient,"[0.019, 0.823, 0.963, 0.736]",M3,"['0.015', '0.069', '0.881', '0.036']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-88,Reject,d
image,categorisation,false,non_compliant,start,insufficient,"[0.062, 0.808, 0.728, 0.773]",M4,"['0.002', '0.003', '0.026', '0.968']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,c
video,categorisation,false,adequacy,start,suboptimal,"[0.063, 0.827, 0.903, 0.964]",M4,"['0.015', '0.027', '0.066', '0.892']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,none,false,inadequate_SCC,start,insufficient,"[0.196, 0.987, 0.864, 0.9]",M3,"['0.141', '0.256', '0.346', '0.256']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,categorisation,false,non_compliant,start,suboptimal,"[0.027, 0.907, 0.888, 0.942]",M4,"['0.010', '0.012', '0.081', '0.897']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,none,false,EU_only,start,insufficient,"[0.016, 0.717, 0.868, 0.785]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M2 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.07, 0.83, 0.944, 0.866]",M3,"['0.002', '0.005', '0.991', '0.002']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,categorisation,false,inadequate_SCC,start,insufficient,"[0.048, 0.77, 0.791, 0.737]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
multimodal,remote_id,high-risk,EU_only,start,insufficient,"[0.161, 0.941, 0.898, 0.792]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
multimodal,categorisation,false,EU_only,start,insufficient,"[0.196, 0.97, 0.757, 0.96]",M4,"['0.004', '0.003', '0.013', '0.980']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,categorisation,false,non_compliant,start,insufficient,"[0.039, 0.704, 0.944, 0.865]",M4,"['0.002', '0.002', '0.020', '0.976']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,none,false,non_compliant,start,insufficient,"[0.013, 0.988, 0.915, 0.735]",M3,"['0.085', '0.115', '0.569', '0.231']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,verification,high-risk,inadequate_SCC,start,insufficient,"[0.044, 0.706, 0.957, 0.774]",M3,"['0.006', '0.025', '0.951', '0.017']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,categorisation,false,adequacy,start,insufficient,"[0.086, 0.73, 0.722, 0.865]",M4,"['0.004', '0.004', '0.005', '0.987']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,none,false,adequacy,start,suboptimal,"[0.097, 0.941, 0.83, 0.935]",M1,"['0.283', '0.382', '0.232', '0.104']",start,a_eval -> a_eval -> a_eval -> a_reject,M1 -> M2 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
image,verification,high-risk,non_compliant,start,insufficient,"[0.076, 0.85, 0.783, 0.774]",M3,"['0.006', '0.020', '0.953', '0.021']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
image,categorisation,false,EU_only,start,insufficient,"[0.075, 0.735, 0.788, 0.905]",M4,"['0.004', '0.004', '0.006', '0.986']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,remote_id,high-risk,adequacy,start,insufficient,"[0.116, 0.772, 0.802, 0.821]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.079, 0.795, 0.872, 0.752]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> M2 -> M3 -> M3 -> M3 -> M2 -> M3 -> M2 -> M3 -> M3 -> M4 -> Reject_M4_d,13,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,26,Reject,d
structured,categorisation,false,non_compliant,start,insufficient,"[0.199, 0.892, 0.888, 0.856]",M4,"['0.002', '0.002', '0.020', '0.976']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
