d,b,r,c,k,m,m_metrics,initial_identified_model,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,final_state,final_g,final_k,total_reward,decision,terminal_subtype
video,remote_id,high-risk,non_compliant,start,insufficient,"[0.114, 0.716, 0.784, 0.882]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
video,categorisation,false,inadequate_SCC,start,insufficient,"[0.1, 0.739, 0.915, 0.859]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.083, 0.808, 0.804, 0.979]",M3,"['0.002', '0.005', '0.991', '0.002']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,verification,high-risk,adequacy,start,suboptimal,"[0.117, 0.891, 0.834, 0.897]",M2,"['0.014', '0.065', '0.914', '0.008']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
structured,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.078, 0.812, 0.862, 0.905]",M3,"['0.002', '0.005', '0.991', '0.002']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
image,none,false,inadequate_SCC,start,insufficient,"[0.086, 0.904, 0.719, 0.805]",M3,"['0.141', '0.256', '0.346', '0.256']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.163, 0.924, 0.753, 0.791]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_c,6,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,c
unstructured_text,categorisation,false,adequacy,start,insufficient,"[0.131, 0.857, 0.709, 0.821]",M4,"['0.004', '0.004', '0.005', '0.987']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,verification,high-risk,EU_only,start,suboptimal,"[0.087, 0.876, 0.972, 0.871]",M2,"['0.036', '0.152', '0.794', '0.018']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-84,Reject,d
multimodal,none,false,adequacy,start,insufficient,"[0.042, 0.746, 0.845, 0.953]",M2,"['0.148', '0.181', '0.402', '0.269']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-82,Reject,d
