current_state,action,next_state,count,probability
M4,a_reject,Reject_M4_d,21535,0.8729
M4,a_reject,Reject_M4_c,3122,0.1265
M4,a_reject,Reject_M4_b,6,0.0002
M4,a_reject,Reject_M4_a,8,0.0003
M1,a_reject,Reject_M1_b,2312,0.6467
M1,a_reject,Reject_M1_a,958,0.268
M1,a_reject,Reject_M1_c,301,0.0842
M1,a_reject,Reject_M1_d,4,0.0011
M1,a_eval,M1,3973,0.4976
M1,a_eval,M2,4012,0.5024
M1,a_accept,Accept_M1_a,2776,0.6966
M1,a_accept,Accept_M1_d,4,0.001
M1,a_accept,Accept_M1_b,1174,0.2946
M1,a_accept,Accept_M1_c,31,0.0078
M4,a_eval,M2,1565,0.3409
M4,a_eval,M3,1533,0.3339
M4,a_eval,M4,1493,0.3252
M2,a_eval,M3,9400,0.3318
M2,a_eval,M2,9579,0.3381
M2,a_eval,M4,9353,0.3301
M3,a_eval,M4,9077,0.3375
M3,a_eval,M2,8909,0.3313
M3,a_eval,M3,8906,0.3312
M2,a_accept,Accept_M2_a,266,0.1317
M2,a_accept,Accept_M2_b,1113,0.5513
M2,a_accept,Accept_M2_c,602,0.2982
M2,a_accept,Accept_M2_d,38,0.0188
M3,a_reject,Reject_M3_d,1310,0.538
M3,a_reject,Reject_M3_c,1064,0.437
M3,a_reject,Reject_M3_b,60,0.0246
M3,a_reject,Reject_M3_a,1,0.0004
M2,a_reject,Reject_M2_b,266,0.2926
M2,a_reject,Reject_M2_c,515,0.5666
M2,a_reject,Reject_M2_d,111,0.1221
M2,a_reject,Reject_M2_a,17,0.0187
M4,a_accept,Accept_M4_d,5,0.8333
M4,a_accept,Accept_M4_c,1,0.1667
