current_state,action,next_state,count,probability
M4,a_reject,Reject_M4_d,82096,0.8813
M4,a_reject,Reject_M4_c,10986,0.1179
M4,a_reject,Reject_M4_a,35,0.0004
M4,a_reject,Reject_M4_b,37,0.0004
M3,a_eval,M2,38918,0.3337
M3,a_eval,M4,38835,0.333
M3,a_eval,M3,38870,0.3333
M2,a_eval,M4,36453,0.3338
M2,a_eval,M2,36369,0.333
M2,a_eval,M3,36383,0.3332
M1,a_eval,M1,3786,0.498
M1,a_eval,M2,3816,0.502
M1,a_accept,Accept_M1_a,2917,0.6916
M1,a_accept,Accept_M1_b,1272,0.3016
M1,a_accept,Accept_M1_c,28,0.0066
M1,a_accept,Accept_M1_d,1,0.0002
M2,a_reject,Reject_M2_b,717,0.2814
M2,a_reject,Reject_M2_c,1436,0.5636
M2,a_reject,Reject_M2_d,346,0.1358
M2,a_reject,Reject_M2_a,49,0.0192
M4,a_eval,M4,1013,0.3291
M4,a_eval,M2,1031,0.335
M4,a_eval,M3,1034,0.3359
M2,a_mitig,M3,443,0.3461
M2,a_mitig,M2,408,0.3187
M2,a_mitig,M1,429,0.3352
M4,a_mitig,M4,2,1.0
