current_state,action,next_state,count,probability
M4,a_reject,Reject_M4_d,49413,0.8409
M4,a_reject,Reject_M4_c,8626,0.1468
M4,a_reject,Reject_M4_b,704,0.012
M4,a_reject,Reject_M4_a,18,0.0003
M3,a_eval,M3,21947,0.3362
M3,a_eval,M4,21526,0.3297
M3,a_eval,M2,21815,0.3341
M3,a_reject,Reject_M3_c,6323,0.3698
M3,a_reject,Reject_M3_d,9287,0.5431
M3,a_reject,Reject_M3_b,1394,0.0815
M3,a_reject,Reject_M3_a,95,0.0056
M2,a_reject,Reject_M2_d,3962,0.1901
M2,a_reject,Reject_M2_c,9580,0.4596
M2,a_reject,Reject_M2_b,6252,0.2999
M2,a_reject,Reject_M2_a,1050,0.0504
M2,a_eval,M3,19439,0.3321
M2,a_eval,M2,19639,0.3355
M2,a_eval,M4,19455,0.3324
M1,a_eval,M1,4605,0.5083
M1,a_eval,M2,4454,0.4917
M1,a_accept,Accept_M1_a,2026,0.643
M1,a_accept,Accept_M1_b,974,0.3091
M1,a_accept,Accept_M1_c,147,0.0467
M1,a_accept,Accept_M1_d,4,0.0013
M4,a_eval,M2,1050,0.325
M4,a_eval,M3,1102,0.3411
M4,a_eval,M4,1079,0.334
M2,a_accept,Accept_M2_b,45,0.4054
M2,a_accept,Accept_M2_c,43,0.3874
M2,a_accept,Accept_M2_a,19,0.1712
M2,a_accept,Accept_M2_d,4,0.036
