current_model,action,next_model,count,total_from_state_action,transition_probability
M3,a_mitig,M3,47862,95277,0.5023
M3,a_mitig,M2,47415,95277,0.4977
M1,a_next,M1,37600,150400,0.25
M1,a_next,M4,37600,150400,0.25
M1,a_next,M2,37600,150400,0.25
M1,a_next,M3,37600,150400,0.25
M1,a_mitig,M1,31705,31705,1.0
M2,a_mitig,M2,31700,94732,0.3346
M2,a_mitig,M3,31532,94732,0.3329
M2,a_mitig,M1,31500,94732,0.3325
M3,a_mitig,M2,28179,56253,0.5009
M3,a_mitig,M3,28074,56253,0.4991
M2,a_mitig,M3,27466,81884,0.3354
M2,a_mitig,M1,27215,81884,0.3324
M2,a_mitig,M2,27203,81884,0.3322
M1,a_eval,M1,18821,37600,0.5006
M1,a_eval,M2,18779,37600,0.4994
M2,a_reject,Reject_M2_c,18090,32863,0.5505
M1,a_eval,M2,14769,29333,0.5035
M1,a_eval,M1,14564,29333,0.4965
M1,a_eval,M2,13056,39663,0.3292
M1,a_eval,M1,12976,39663,0.3272
M4,a_eval,M3,12588,37585,0.3349
M4,a_eval,M4,12547,37585,0.3338
M4,a_eval,M2,12450,37585,0.3312
M3,a_reject,Reject_M3_d,12023,21717,0.5536
M2,a_reject,Reject_M2_c,11905,21983,0.5416
M2,a_reject,Reject_M2_b,9681,32863,0.2946
M4,a_mitig,M4,9665,19261,0.5018
M4,a_mitig,M2,9596,19261,0.4982
M3,a_reject,Reject_M3_d,9577,17476,0.548
M1,a_reject,Reject_M1_b,9569,15092,0.634
M3,a_reject,Reject_M3_c,9232,21717,0.4251
M1,a_reject,Reject_M1_b,7591,12104,0.6271
M3,a_reject,Reject_M3_c,7531,17476,0.4309
M2,a_reject,Reject_M2_c,7356,13444,0.5472
M1,a_eval,M1,6859,39663,0.1729
M1,a_eval,M2,6772,39663,0.1707
M2,a_reject,Reject_M2_b,6608,21983,0.3006
M1,a_eval,M1,5191,11908,0.4359
M1,a_eval,M2,5057,11908,0.4247
M2,a_reject,Reject_M2_d,4438,32863,0.135
M2,a_eval,M3,4298,20082,0.214
M2,a_eval,M2,4265,20082,0.2124
M2,a_eval,M4,4165,20082,0.2074
M1,a_reject,Reject_M1_a,4118,15092,0.2729
M2,a_reject,Reject_M2_b,4071,13444,0.3028
M3,a_mitig,M2,3802,7538,0.5044
M3,a_mitig,M3,3736,7538,0.4956
M1,a_reject,Reject_M1_b,3674,5858,0.6272
M1,a_reject,Reject_M1_a,3409,12104,0.2816
M1,a_mitig,M1,3305,3305,1.0
M2,a_reject,Reject_M2_d,2998,21983,0.1364
M1,a_eval,M2,2733,5434,0.5029
M1,a_eval,M1,2701,5434,0.4971
M2,a_eval,M4,2544,20082,0.1267
M2,a_eval,M2,2412,20082,0.1201
M2,a_eval,M3,2398,20082,0.1194
M4,a_reject,Reject_M4_d,1906,2141,0.8902
M2,a_mitig,M3,1818,5279,0.3444
M4,a_mitig,M2,1808,3585,0.5043
M4,a_mitig,M4,1777,3585,0.4957
M1,a_mitig,M1,1759,1759,1.0
M2,a_reject,Reject_M2_d,1748,13444,0.13
M2,a_mitig,M1,1732,5279,0.3281
M2,a_mitig,M2,1729,5279,0.3275
M4,a_reject,Reject_M4_d,1686,1923,0.8768
M3,a_reject,Reject_M3_d,1665,2988,0.5572
M1,a_reject,Reject_M1_a,1638,5858,0.2796
M2,a_eval,M2,1487,4350,0.3418
M4,a_eval,M3,1484,6461,0.2297
M4,a_eval,M4,1481,6461,0.2292
M4,a_eval,M2,1471,6461,0.2277
M2,a_eval,M3,1456,4350,0.3347
M2,a_eval,M4,1407,4350,0.3234
M1,a_reject,Reject_M1_c,1396,15092,0.0925
M1,a_reject,Reject_M1_b,1386,2167,0.6396
M3,a_reject,Reject_M3_c,1268,2988,0.4244
M1,a_mitig,M1,1195,1195,1.0
M1,a_reject,Reject_M1_c,1098,12104,0.0907
M1,a_eval,M2,856,11908,0.0719
M1,a_eval,M1,804,11908,0.0675
M4,a_eval,M2,681,6461,0.1054
M4,a_eval,M4,680,6461,0.1052
M4,a_eval,M3,664,6461,0.1028
M2,a_reject,Reject_M2_a,654,32863,0.0199
M1,a_reject,Reject_M1_a,585,2167,0.27
M1,a_reject,Reject_M1_c,540,5858,0.0922
M4,a_eval,M2,530,1549,0.3422
M4,a_eval,M4,517,1549,0.3338
M4,a_eval,M3,502,1549,0.3241
M2,a_reject,Reject_M2_a,472,21983,0.0215
M3,a_reject,Reject_M3_b,445,21717,0.0205
M1,a_reject,Reject_M1_b,405,644,0.6289
M3,a_reject,Reject_M3_b,360,17476,0.0206
M2,a_reject,Reject_M2_a,269,13444,0.02
M4,a_reject,Reject_M4_c,235,2141,0.1098
M4,a_reject,Reject_M4_c,234,1923,0.1217
M1,a_reject,Reject_M1_c,195,2167,0.09
M1,a_reject,Reject_M1_a,174,644,0.2702
M1,a_eval,M2,160,307,0.5212
M1,a_eval,M1,147,307,0.4788
M3,a_eval,M4,75,189,0.3968
M1,a_reject,Reject_M1_c,65,644,0.1009
M3,a_eval,M3,60,165,0.3636
M3,a_eval,M4,57,165,0.3455
M3,a_eval,M3,57,189,0.3016
M3,a_eval,M2,55,189,0.291
M3,a_reject,Reject_M3_b,52,2988,0.0174
M3,a_eval,M2,48,165,0.2909
M3,a_reject,Reject_M3_a,17,21717,0.0008
M4,a_mitig,M2,15,25,0.6
M4,a_mitig,M4,10,25,0.4
M1,a_reject,Reject_M1_d,9,15092,0.0006
M3,a_reject,Reject_M3_a,8,17476,0.0005
M2,a_eval,M3,8,15,0.5333
M1,a_reject,Reject_M1_d,6,5858,0.001
M1,a_reject,Reject_M1_d,6,12104,0.0005
M2,a_eval,M4,4,15,0.2667
M3,a_reject,Reject_M3_a,3,2988,0.001
M4,a_reject,Reject_M4_b,3,1923,0.0016
M2,a_eval,M2,3,15,0.2
M1,a_reject,Reject_M1_d,1,2167,0.0005
M3,a_eval,M2,1,189,0.0053
M3,a_eval,M4,1,189,0.0053
