current_model,action,next_model,count,total_from_state_action,transition_probability
M1,a_reject,Reject_M1_d,5,6889,0.0007
M4,a_reject,Reject_M4_b,5,3756,0.0013
M1,a_accept,Accept_M1_c,3,194,0.0155
M4,a_reject,Reject_M4_a,3,3756,0.0008
M3,a_reject,Reject_M3_a,3,5968,0.0005
M1,a_reject,Reject_M1_d,1,511,0.002
M1,a_mitig,M1,1,1,1.0
M1,a_accept,Accept_M1_c,1,88,0.0114
M4,a_reject,Reject_M4_b,1,1757,0.0006
M1,a_accept,Accept_M1_d,1,2895,0.0003
M4,a_reject,Reject_M4_a,1,1757,0.0006
