current_state,action,next_state,count,probability
M4,a_next,M4,13262,1.0
M4,a_eval,M4,1005058,1.0
M3,a_next,M3,25624,1.0
M3,a_eval,M3,24707,0.334
M3,a_eval,M2,24565,0.3321
M3,a_eval,M4,24695,0.3339
M2,a_eval,M2,22580,0.3336
M2,a_eval,M3,22732,0.3359
M2,a_eval,M4,22370,0.3305
M2,a_next,M2,19674,1.0
M2,a_mitig,M1,574,0.3278
M2,a_mitig,M2,580,0.3312
M2,a_mitig,M3,597,0.3409
M1,a_accept,Accept_M1_d,1412,0.2505
M1,a_accept,Accept_M1_a,1401,0.2486
M1,a_accept,Accept_M1_b,1404,0.2491
M1,a_accept,Accept_M1_c,1419,0.2518
M1,a_next,M1,5039,1.0
M3,a_mitig,M3,315,0.5241
M3,a_mitig,M2,286,0.4759
M2,a_accept,Accept_M2_c,3,0.2727
M2,a_accept,Accept_M2_a,4,0.3636
M2,a_accept,Accept_M2_d,1,0.0909
M2,a_accept,Accept_M2_b,3,0.2727
M1,a_mitig,M1,23,1.0
M4,a_mitig,M4,7,0.4667
M4,a_mitig,M2,8,0.5333
