d,b,r,c,k,m,m_metrics,initial_identified_model,actions_sequence,total_steps,final_state,total_reward
unstructured_text,none,false,adequacy,start,insufficient,"[0.065, 0.911, 0.898, 0.798]",M1,a_accept,1,Accept_M1,53.0
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.185, 0.866, 0.86, 0.775]",M2,a_accept,1,Accept_M2,19.0
structured,categorisation,false,EU_only,start,insufficient,"[0.12, 0.708, 0.865, 0.848]",M4,a_accept,1,Reject,70.0
unstructured_text,none,false,non_compliant,start,insufficient,"[0.156, 0.859, 0.958, 0.895]",M3,a_eval -> a_eval -> a_eval -> a_accept,4,Reject,61.0
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.094, 0.856, 0.943, 0.77]",M3,a_eval -> a_eval -> a_eval -> a_accept,4,Accept_M2,10.0
unstructured_text,remote_id,high-risk,non_compliant,start,optimal,"[0.022, 0.984, 0.941, 0.907]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,6,Reject,55.0
unstructured_text,none,false,inadequate_SCC,start,suboptimal,"[0.051, 0.884, 0.883, 0.917]",M3,a_accept,1,Accept_M3,-38.0
image,none,false,EU_only,start,insufficient,"[0.062, 0.762, 0.977, 0.9]",M1,a_accept,1,Accept_M1,53.0
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.2, 0.708, 0.809, 0.847]",M3,a_accept,1,Accept_M3,-38.0
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.117, 0.91, 0.705, 0.929]",M3,a_accept,1,Accept_M3,-38.0
multimodal,verification,high-risk,EU_only,start,insufficient,"[0.189, 0.84, 0.836, 0.947]",M2,a_accept,1,Accept_M2,19.0
structured,verification,high-risk,non_compliant,start,insufficient,"[0.159, 0.896, 0.885, 0.938]",M3,a_eval -> a_accept,2,Accept_M2,16.0
image,categorisation,false,EU_only,start,insufficient,"[0.164, 0.915, 0.959, 0.923]",M4,a_accept,1,Reject,70.0
structured,verification,high-risk,non_compliant,start,insufficient,"[0.026, 0.864, 0.986, 0.765]",M3,a_eval -> a_accept,2,Accept_M2,16.0
structured,verification,high-risk,adequacy,start,suboptimal,"[0.054, 0.838, 0.918, 0.966]",M2,a_accept,1,Accept_M2,19.0
image,none,false,non_compliant,start,insufficient,"[0.016, 0.96, 0.888, 0.745]",M3,a_eval -> a_eval -> a_accept,3,Reject,64.0
multimodal,remote_id,high-risk,adequacy,start,insufficient,"[0.057, 0.893, 0.964, 0.745]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.062, 0.775, 0.769, 0.742]",M4,a_accept,1,Reject,70.0
image,verification,high-risk,EU_only,start,insufficient,"[0.11, 0.953, 0.97, 0.793]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.183, 0.986, 0.829, 0.926]",M4,a_accept,1,Reject,70.0
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.082, 0.919, 0.93, 0.763]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.128, 0.912, 0.752, 0.827]",M4,a_next -> a_accept,2,Reject,65.0
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.125, 0.934, 0.714, 0.78]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.165, 0.788, 0.73, 0.866]",M2,a_accept,1,Accept_M2,19.0
multimodal,remote_id,high-risk,non_compliant,start,suboptimal,"[0.036, 0.831, 0.87, 0.96]",M3,a_eval -> a_accept,2,Reject,67.0
unstructured_text,none,false,EU_only,start,insufficient,"[0.162, 0.825, 0.874, 0.715]",M1,a_accept,1,Accept_M1,53.0
image,categorisation,false,non_compliant,start,insufficient,"[0.079, 0.726, 0.831, 0.857]",M4,a_reject -> a_next -> a_accept,3,Accept_M2,9.0
multimodal,remote_id,high-risk,EU_only,start,suboptimal,"[0.028, 0.973, 0.942, 0.828]",M2,a_accept,1,Accept_M2,19.0
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.173, 0.827, 0.848, 0.906]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.171, 0.826, 0.754, 0.838]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,11,Reject,40.0
structured,none,false,EU_only,start,insufficient,"[0.19, 0.9, 0.819, 0.839]",M1,a_accept,1,Accept_M1,53.0
image,remote_id,high-risk,non_compliant,start,suboptimal,"[0.031, 0.858, 0.912, 0.823]",M3,a_eval -> a_accept,2,Accept_M2,16.0
